50,2,2.074310779571533,"[[0.1090334877371788, 0.6909665465354919], [0.1090334877371788, 0.6909665465354919], [0.1090334877371788, 0.6909665465354919], [0.1090334877371788, 0.6909665465354919], [0.1090334877371788, 0.6909665465354919]]","[[0.10912427306175232, 0.6908758878707886], [0.10912427306175232, 0.6908758878707886], [0.10912427306175232, 0.6908758878707886], [0.10912427306175232, 0.6908758878707886], [0.10912427306175232, 0.6908758878707886]]","[[0.0016804540064185858, 0.0016804649494588375], [0.0016804540064185858, 0.0016804649494588375], [0.0016804540064185858, 0.0016804649494588375], [0.0016804540064185858, 0.0016804649494588375], [0.0016804540064185858, 0.0016804649494588375]]","[[0.10620915293693542, 0.6883587062358856], [0.10620915293693542, 0.6883587062358856], [0.10620915293693542, 0.6883587062358856], [0.10620915293693542, 0.6883587062358856], [0.10620915293693542, 0.6883587062358856]]","[[0.11164147555828094, 0.6937910974025726], [0.11164147555828094, 0.6937910974025726], [0.11164147555828094, 0.6937910974025726], [0.11164147555828094, 0.6937910974025726], [0.11164147555828094, 0.6937910974025726]]"
75,3,2.071626901626587,"[[0.10906906425952911, 0.6909310817718506], [0.10906906425952911, 0.6909310817718506], [0.10906906425952911, 0.6909310817718506], [0.10906906425952911, 0.6909310817718506], [0.10906906425952911, 0.6909310817718506]]","[[0.10893404483795166, 0.6910662651062012], [0.10893404483795166, 0.6910662651062012], [0.10893404483795166, 0.6910662651062012], [0.10893404483795166, 0.6910662651062012], [0.10893404483795166, 0.6910662651062012]]","[[0.0017397775081917644, 0.0017397924093529582], [0.0017397775081917644, 0.0017397924093529582], [0.0017397775081917644, 0.0017397924093529582], [0.0017397775081917644, 0.0017397924093529582], [0.0017397775081917644, 0.0017397924093529582]]","[[0.10645703077316285, 0.6882110893726349], [0.10645703077316285, 0.6882110893726349], [0.10645703077316285, 0.6882110893726349], [0.10645703077316285, 0.6882110893726349], [0.10645703077316285, 0.6882110893726349]]","[[0.11178904175758361, 0.6935432016849518], [0.11178904175758361, 0.6935432016849518], [0.11178904175758361, 0.6935432016849518], [0.11178904175758361, 0.6935432016849518], [0.11178904175758361, 0.6935432016849518]]"
100,4,2.0704140663146973,"[[0.10915108770132065, 0.6908489465713501], [0.10915108770132065, 0.6908489465713501], [0.10915108770132065, 0.6908489465713501], [0.10915108770132065, 0.6908489465713501], [0.10915108770132065, 0.6908489465713501]]","[[0.10896417498588562, 0.6910360455513], [0.10896417498588562, 0.6910360455513], [0.10896417498588562, 0.6910360455513], [0.10896417498588562, 0.6910360455513], [0.10896417498588562, 0.6910360455513]]","[[0.0016722993459552526, 0.0016723135486245155], [0.0016722993459552526, 0.0016723135486245155], [0.0016722993459552526, 0.0016723135486245155], [0.0016722993459552526, 0.0016723135486245155], [0.0016722993459552526, 0.0016723135486245155]]","[[0.10680038928985595, 0.6881032049655914], [0.10680038928985595, 0.6881032049655914], [0.10680038928985595, 0.6881032049655914], [0.10680038928985595, 0.6881032049655914], [0.10680038928985595, 0.6881032049655914]]","[[0.11189692914485931, 0.6931998044252395], [0.11189692914485931, 0.6931998044252395], [0.11189692914485931, 0.6931998044252395], [0.11189692914485931, 0.6931998044252395], [0.11189692914485931, 0.6931998044252395]]"
150,6,2.1194117069244385,"[[0.10914566367864609, 0.6908543109893799], [0.10914566367864609, 0.6908543109893799], [0.10914566367864609, 0.6908543109893799], [0.10914566367864609, 0.6908543109893799], [0.10914566367864609, 0.6908543109893799]]","[[0.10899516940116882, 0.6910049319267273], [0.10899516940116882, 0.6910049319267273], [0.10899516940116882, 0.6910049319267273], [0.10899516940116882, 0.6910049319267273], [0.10899516940116882, 0.6910049319267273]]","[[0.0016900631599128246, 0.001690064324066043], [0.0016900631599128246, 0.001690064324066043], [0.0016900631599128246, 0.001690064324066043], [0.0016900631599128246, 0.001690064324066043], [0.0016900631599128246, 0.001690064324066043]]","[[0.10657962262630463, 0.6881082653999329], [0.10657962262630463, 0.6881082653999329], [0.10657962262630463, 0.6881082653999329], [0.10657962262630463, 0.6881082653999329], [0.10657962262630463, 0.6881082653999329]]","[[0.11189196407794952, 0.6934205621480942], [0.11189196407794952, 0.6934205621480942], [0.11189196407794952, 0.6934205621480942], [0.11189196407794952, 0.6934205621480942], [0.11189196407794952, 0.6934205621480942]]"
200,8,2.119002342224121,"[[0.10928081721067429, 0.6907193064689636], [0.10928081721067429, 0.6907193064689636], [0.10928081721067429, 0.6907193064689636], [0.10928081721067429, 0.6907193064689636], [0.10928081721067429, 0.6907193064689636]]","[[0.10920307040214539, 0.6907970905303955], [0.10920307040214539, 0.6907970905303955], [0.10920307040214539, 0.6907970905303955], [0.10920307040214539, 0.6907970905303955], [0.10920307040214539, 0.6907970905303955]]","[[0.0016807119827717543, 0.0016807080246508121], [0.0016807119827717543, 0.0016807080246508121], [0.0016807119827717543, 0.0016807080246508121], [0.0016807119827717543, 0.0016807080246508121], [0.0016807119827717543, 0.0016807080246508121]]","[[0.10663772225379944, 0.6878938198089599], [0.10663772225379944, 0.6878938198089599], [0.10663772225379944, 0.6878938198089599], [0.10663772225379944, 0.6878938198089599], [0.10663772225379944, 0.6878938198089599]]","[[0.11210636794567108, 0.6933625280857086], [0.11210636794567108, 0.6933625280857086], [0.11210636794567108, 0.6933625280857086], [0.11210636794567108, 0.6933625280857086], [0.11210636794567108, 0.6933625280857086]]"
300,12,2.0914270877838135,"[[0.10921809077262878, 0.6907819509506226], [0.10921809077262878, 0.6907819509506226], [0.10921809077262878, 0.6907819509506226], [0.10921809077262878, 0.6907819509506226], [0.10921809077262878, 0.6907819509506226]]","[[0.10924351215362549, 0.690756618976593], [0.10924351215362549, 0.690756618976593], [0.10924351215362549, 0.690756618976593], [0.10924351215362549, 0.690756618976593], [0.10924351215362549, 0.690756618976593]]","[[0.0017558190738782287, 0.0017558119725435972], [0.0017558190738782287, 0.0017558119725435972], [0.0017558190738782287, 0.0017558119725435972], [0.0017558190738782287, 0.0017558119725435972], [0.0017558190738782287, 0.0017558119725435972]]","[[0.10642501711845398, 0.6878024905920028], [0.10642501711845398, 0.6878024905920028], [0.10642501711845398, 0.6878024905920028], [0.10642501711845398, 0.6878024905920028], [0.10642501711845398, 0.6878024905920028]]","[[0.1121976375579834, 0.693575057387352], [0.1121976375579834, 0.693575057387352], [0.1121976375579834, 0.693575057387352], [0.1121976375579834, 0.693575057387352], [0.1121976375579834, 0.693575057387352]]"
